Names,90s,Gls,Ast,G+A,G-PK,PK,PKatt,xG,npxG,xAG,npxG+xAG,PrgR,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,npxG/Sh,G-xG,np:G-xG,TotDist,PrgDist,Cmp%S,Cmp%M,Cmp%L,xA,A-xAG,KP,F3rdPPA,PPA,CrsPA,PrgP,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,BlockedPass,SCA,SCA90,PassLiveSCA,PassDeadSCA,TO,ShToS,Fld,Def,GCA,GCA90,PassLive,PassDead,TOSCA,ShSCA,FldSCA,DefSCA,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,TklDef,Att,Tkl%,Lost,Blocks,ShBlocked,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rdT,Mid 3rdT,Att 3rdT,Att Pen,LiveT,AttTO,Succ%,Tkld,Tkld%,Carries,TotDistC,PrgDistC,PrgC,F3Carry,CPA,Mis,Dis,Rec,CrdY,CrdR,2CrdY,Fls,PKwon,PKcon,OG,Recov,ADWon,ADLost,Playstyles
Max Aarons,1,0.0242,0.0725,0.0966,0.0242,0,0,0.0362,0.0362,0.0903,0.1266,4.7585,0.4831,0.1304,27,0.05,0.19,0.0874,0.08,-2.5,-2.5,635.0242,209.6377,90.8,79.7,43.9,0.0918,-0.0179,0.8744,2.1884,1.1353,0.3961,3.5411,43.4928,9.971,0.7391,0.0531,0.2754,2.1498,9.2271,0.0048,0,0,0,42.2754,0.0821,1.5894,2.0435,0.0099,1.6329,0.058,0.1449,0.0628,0.1304,0.0145,0.1739,0.0008,0.1546,0.0048,0,0,0.0145,0,1.5217,0.8986,1.0386,0.3913,0.0918,0.8309,1.3092,63.5,0.4783,0.9082,0.4396,0.4686,0.9807,2.5024,2.2947,0.029,64.1498,3.2947,21.2657,26.058,17.5507,1.6039,64.1498,2.6087,48.5,1.1401,43.7,36,236.6135,119.7488,2.8261,1.7778,0.657,1.3575,0.7246,38.8937,0.1884,0,0,0.6763,0.0193,0.0145,0.0048,5.2705,0.5797,1.1836,Offensive Wing Back
Benie Adama Traore,1,0.4587,0.1529,0.6116,0.3364,0.1223,0.1223,0.0092,0.0092,0.0153,0.0245,0.4281,2.4159,1.1009,45.6,0.14,0.31,0.4679,0.27,-0.3,-0.3,23.7003,5.6575,89.5,82.6,100,0.0153,0.1376,0.1223,0.0612,0.2141,0.0306,0.2752,1.9878,0.1529,0,0.0612,0,1.0398,0,0,0,0,0,1.682,0.0306,0.1223,0.1835,0.0428,0.1835,0,0,0,0,0,0.0306,0.007,0.0306,0,0,0,0,0,0.1223,0.7034,0.0306,0.0612,0.0306,0,0.1223,0,0.1223,0.1223,0.0306,0.0917,0.5505,0.1529,0.0306,0,3.4251,0.0612,0.581,1.4985,1.4679,0.2752,3.4251,0.6728,22.7,0.4587,68.2,2.2018,14.1284,5.3211,0.2141,0.1529,0.0917,0.3058,0.2141,2.1101,0.0306,0,0,1.6514,0,0,0,0.6728,0.0612,0.5505,Wide Winger
Tosin Adarabioyo,1,0.0453,0.0324,0.0777,0.0453,0,0,0.0466,0.0466,0.0175,0.0634,0.2654,0.5825,0.1877,32.2,0.08,0.24,0.0964,0.08,-0.2,-0.2,1060.8673,409.178,86.2,90,63.9,0.0188,0.0149,0.233,2.8997,0.1942,0.0194,3.0421,57.8964,2.9061,1.534,0.0324,0.4984,0.1165,1.3204,0.0065,0,0,0,50.6149,0.1942,0.4207,0.8155,0.0053,0.6926,0.0324,0.0065,0.0712,0.0065,0.0065,0.0777,0.0005,0.0453,0,0.0065,0.0129,0.0065,0.0065,1.178,0.7184,0.8285,0.2848,0.0647,0.5631,0.9579,58.8,0.3948,0.945,0.6667,0.2783,1.4304,2.6084,4.9579,0.0518,71.0162,9.1197,36.5049,32.2006,2.6408,0.8673,71.0162,0.4854,74.7,0.1165,24,39.178,177.9223,104.5372,0.5113,0.3107,0.0194,0.4337,0.233,45.5858,0.0712,0.0065,0,0.5243,0,0.0324,0.0129,5.055,3.0291,1.2427,Sweeper
Elijah Adebayo,1,0.3642,0.0703,0.4345,0.3387,0.0256,0.0511,0.2351,0.2032,0.0671,0.2696,4.2748,1.9169,0.7604,39.7,0.16,0.4,0.0805,0.16,-4.8,-3.8,76.1981,18,67,55.7,36.7,0.0588,0.0032,0.4665,0.4792,0.262,0.0383,0.9137,10.5623,0.0703,0,0.0192,0.0064,0.6901,0.0511,0,0,0,0,6.1789,0.0958,0.4345,1.1629,0.0124,0.754,0.0064,0.1278,0.115,0.147,0.0128,0.1661,0.0018,0.0767,0,0.0319,0.0256,0.0192,0.0128,0.4473,0.377,0.1086,0.1789,0.1597,0.1214,0.492,24.7,0.3706,0.5879,0.0447,0.5431,0.3003,0.6645,0.8626,0,20.7732,0.9393,1.8211,7.1949,11.9425,3.2971,20.7284,2.2236,30.5,1.4441,64.9,11.6038,65.853,20.6645,1.0224,0.5751,0.6837,2.7604,1.1821,14.9776,0.1534,0.0064,0,1.8658,0.0128,0,0,1.6805,2.5815,3.4185,Complete Forward
Simon Adingra,1,0.4587,0.2202,0.6789,0.4587,0,0,0.1413,0.1413,0.1303,0.2716,6.0734,2.5138,1.1743,46.7,0.18,0.39,0.2881,0.13,6.3,6.3,231.8716,59.633,81.6,75.9,51.3,0.1284,0.0899,1.0092,0.6789,0.8624,0.2202,1.4128,19.0275,1.3761,0.0917,0.1284,0.0734,3.4128,0.5138,0.7706,0.4771,0.1284,0,15.0826,0.0734,0.7339,1.945,0.0598,1.3028,0.1468,0.2202,0.1101,0.1101,0.055,0.3303,0.0101,0.2018,0,0.0734,0.0183,0.0183,0.0183,0.6972,0.9908,0.2936,0.2202,0.1835,0.3303,0.789,41.9,0.4587,0.5505,0,0.5505,0.6239,1.1376,0.3486,0,27.6514,0.5505,4.055,9.7798,14.4404,3.0092,27.6514,3.2661,39.9,1.6514,50.6,20.2936,155.2844,78.6972,2.6789,1.5046,1.211,1.156,0.9725,19.3211,0.1651,0.0183,0,1.2294,0.0183,0.0183,0,3.1009,0.1835,0.1651,Wide Winger
Nayef Aguerd,1,0.0999,0.025,0.1249,0.0999,0,0,0.0891,0.0891,0.0158,0.1041,0.0833,0.7494,0.1832,24.4,0.13,0.55,0.0908,0.12,1.3,1.3,1102.423,453.7219,93.9,92,61.7,0.0142,0.0092,0.1665,3.189,0.0916,0.0167,2.9975,61.4321,2.4646,2.0316,0.025,1.174,0.0583,0.2914,0,0,0,0,55.0458,0.1249,0.3081,0.5912,0.0049,0.458,0.0333,0.0083,0.0749,0.0167,0,0.05,0.0004,0.0416,0,0,0,0.0083,0,1.1574,0.791,0.741,0.3997,0.0167,0.6162,0.9992,61.7,0.383,1.1407,0.816,0.3247,1.1407,2.2981,4.0466,0.05,73.7052,7.5687,35.5537,36.4946,2.0483,1.0491,73.7052,0.3164,76.3,0.0583,18.4,44.438,199.7585,112.9226,0.3747,0.2831,0.0083,0.383,0.2498,51.8068,0.1832,0.025,0.0083,0.7494,0.0083,0.05,0,5.3372,3.0475,1.7652,Sweeper
Naouirou Ahamada,1,0.0935,0.0935,0.1869,0.0935,0,0,0.0654,0.0654,0.0654,0.1262,3.9252,1.215,0.2804,23.1,0.08,0.33,1.0093,0.05,0.6,0.6,484.1121,115.9813,90.3,91.8,54.2,0.0514,0.028,0.8411,2.6168,0.3271,0.0935,3.785,36.4019,0.8879,0.3271,0.0935,0.0467,0.6075,0.2804,0,0,0,0,31.5888,0.0935,1.0748,2.1963,0.1028,1.7757,0,0.1869,0.1402,0.0467,0.0467,0.3738,0.0173,0.3738,0,0,0,0,0,1.2617,0.7477,0.7009,0.4206,0.1402,0.6075,1.5421,39.4,0.9346,0.9346,0.2336,0.7009,0.4673,1.729,0.3738,0,47.1963,1.028,9.3925,27.1028,11.4953,1.3551,47.1963,2.9439,55.6,1.0748,36.5,29.8598,208.2243,100.7477,2.8505,1.6355,0.4206,2.4299,0.9813,32.7103,0.3738,0.0935,0.0467,1.4019,0,0.0935,0,6.028,0.4206,0.9813,Disruptor
Anel Ahmedhod\xc5\xbei\xc4\x87,1,0.0765,0.0459,0.1223,0.0765,0,0,0.0436,0.0436,0.0268,0.0703,0.6193,0.7569,0.2523,33.3,0.1,0.3,0.1078,0.1,0.3,0.3,270.2829,90.3211,88,82.9,55.6,0.0222,0.0191,0.237,1.0245,0.1529,0.0382,1.3532,18.8761,0.9939,0.2599,0,0.1376,0.3364,0.7339,0,0,0,0,15.7263,0.0459,0.3211,0.5657,0.0097,0.4434,0.0076,0,0.0688,0.0153,0.0306,0.0382,0.0007,0.0229,0,0,0.0153,0,0,1.0245,0.9709,0.6957,0.2523,0.0765,0.5199,0.841,61.8,0.3211,0.5122,0.2446,0.2676,1.7661,1.7661,1.4908,0,25.0612,2.3624,10.6346,11.2156,3.3869,0.6651,25.0612,0.3287,37.2,0.1758,53.5,13.1728,79.9541,46.4985,0.6957,0.6116,0.0459,0.3211,0.2141,14.3884,0.2752,0,0,1.055,0.0076,0.0076,0,2.4694,0.818,0.6498,Aggressor
Ola Aina,1,0.0324,0.0714,0.1038,0.0324,0,0,0.0273,0.0273,0.0707,0.098,2.3686,0.6944,0.1752,25.2,0.05,0.19,0.1408,0.06,0.8,0.8,451.7781,182.0896,88.2,75.2,46.7,0.0578,0.0006,0.61,1.9403,0.6424,0.305,2.7125,30.1493,7.1058,0.5321,0.0324,0.1817,2.2972,6.5217,0.0519,0,0,0,27.599,0.1168,1.0253,1.4082,0.0127,0.9799,0.1687,0.1168,0.013,0.1103,0.0195,0.1298,0.0012,0.0909,0.013,0.0065,0,0.0195,0,1.2914,1.22,0.7008,0.4283,0.1622,0.636,1.194,53.3,0.5581,0.7333,0.1493,0.584,1.6742,2.3945,1.9533,0.0324,45.9637,2.2064,13.7962,21.1097,11.6483,0.7982,45.9637,1.7975,52.3,0.7917,44,22.719,138.3712,75.3602,2.0117,1.4147,0.2206,0.9669,0.4997,25.8209,0.2012,0.0065,0,1.1421,0.0065,0.0065,0,4.2375,0.902,0.8631,Offensive Wing Back
Rayan A\xc3\xaft Nouri,1,0.0402,0.0803,0.1205,0.0402,0,0,0.0442,0.0442,0.0669,0.1111,5.5556,0.6827,0.2008,29.4,0.06,0.2,0.2303,0.07,-0.3,-0.3,609.8795,210.9639,90.5,79.9,44.2,0.0629,0.0134,0.83,2.1017,0.9505,0.4819,3.494,42.2892,8.996,0.4953,0.0268,0.2142,3.2262,7.8983,0.6024,0.2276,0.3481,0,40.6827,0.1205,1.1914,2.1821,0.0292,1.4592,0.2811,0.241,0.0535,0.1071,0.0402,0.1606,0.0021,0.1071,0.0134,0.0134,0,0.0268,0,2.5435,1.5663,1.66,0.6961,0.1874,0.8969,1.7135,52.3,0.8166,0.9371,0.1339,0.8032,1.0576,3.6011,1.9679,0.0134,64.0295,2.6238,19.7456,26.5194,18.5542,1.7001,64.0295,3.6011,53.2,1.5663,43.5,33.6412,186.1714,102.6506,2.8246,1.9009,0.7095,2.0348,1.419,38.4739,0.2276,0,0,0.9371,0.0134,0.0402,0.0134,5.8501,0.8568,0.9639,Offensive Wing Back
