Name	Link
Max Aarons	/en/players/774cf58b/Max-Aarons
B\xc3\xa9nie Adama Traore	/en/players/77816c91/Benie-Adama-Traore
Tosin Adarabioyo	/en/players/c81d773d/Tosin-Adarabioyo
Elijah Adebayo	/en/players/0480ebc7/Elijah-Adebayo
Simon Adingra	/en/players/4dcec659/Simon-Adingra
Nayef Aguerd	/en/players/288e1e13/Nayef-Aguerd
Naouirou Ahamada	/en/players/a6c58494/Naouirou-Ahamada
Anel Ahmedhod\xc5\xbei\xc4\x87	/en/players/eab957a3/Anel-Ahmedhodzic
Ola Aina	/en/players/246d153b/Ola-Aina
Rayan A\xc3\xaft Nouri	/en/players/9b398aea/Rayan-Ait-Nouri
Kristoffer Ajer	/en/players/a8c0acb7/Kristoffer-Ajer
Manuel Akanji	/en/players/89ac64a6/Manuel-Akanji
Nathan Ak\xc3\xa9	/en/players/eaeca114/Nathan-Ake
Trent Alexander-Arnold	/en/players/cd1acf9d/Trent-Alexander-Arnold
Alisson	/en/players/7a2e46a8/Alisson
Miguel Almir\xc3\xb3n	/en/players/862a1c15/Miguel-Almiron
Edson \xc3\x81lvarez	/en/players/8b3ab7ad/Edson-Alvarez
Juli\xc3\xa1n \xc3\x81lvarez	/en/players/15ab5a2b/Julian-Alvarez
Zeki Amdouni	/en/players/2ee5b0c9/Zeki-Amdouni
Sofyan Amrabat	/en/players/5a2cb25d/Sofyan-Amrabat
Joachim Andersen	/en/players/e34fc66d/Joachim-Andersen
Elliot Anderson	/en/players/de31038e/Elliot-Anderson
Jaidon Anthony	/en/players/e4238fb1/Jaidon-Anthony
Michail Antonio	/en/players/ac05f970/Michail-Antonio
Antony	/en/players/99127249/Antony
Cameron Archer	/en/players/05e8ca6d/Cameron-Archer
Cameron Archer	/en/players/05e8ca6d/Cameron-Archer
Alphonse Areola	/en/players/2f965a72/Alphonse-Areola
Serge Aurier	/en/players/5c2b4f07/Serge-Aurier
Taiwo Awoniyi	/en/players/e5478b87/Taiwo-Awoniyi
Jordan Ayew	/en/players/da052c14/Jordan-Ayew
Beno\xc3\xaet Badiashile	/en/players/06df8256/Benoit-Badiashile
Leon Bailey	/en/players/3a233281/Leon-Bailey
George Baldock	/en/players/394854c4/George-Baldock
Carlos Baleba	/en/players/a1390d2f/Carlos-Baleba
Fod\xc3\xa9 Ballo-Tour\xc3\xa9	/en/players/f449640d/Fode-Ballo-Toure
Shandon Baptiste	/en/players/2886c9b5/Shandon-Baptiste
Ross Barkley	/en/players/3a24769f/Ross-Barkley
Harvey Barnes	/en/players/3ea50f67/Harvey-Barnes
Chris Basham	/en/players/1aa84968/Chris-Basham
Calvin Bassey	/en/players/a36524bf/Calvin-Bassey
Donny van de Beek	/en/players/50dc94ce/Donny-van-de-Beek
Amari\'i Bell	/en/players/399e9474/Amarii-Bell
Jean-Ricner Bellegarde	/en/players/10f0fdd3/Jean-Ricner-Bellegarde
Anis Ben Slimane	/en/players/9ade9ce1/Anis-Ben-Slimane
Sa\xc3\xafd Benrahma	/en/players/5a04fd92/Said-Benrahma
Rodrigo Bentancur	/en/players/3b8674e6/Rodrigo-Bentancur
Daniel Bentley	/en/players/68db6358/Daniel-Bentley
J\xc3\xb3hann Berg Gu\xc3\xb0mundsson	/en/players/f72293fc/Johann-Berg-Gudmundsson
Sander Berge	/en/players/d0b6129f/Sander-Berge
Luke Berry	/en/players/2aaadf33/Luke-Berry
Beto	/en/players/ed5c0319/Beto
Jordan Beyer	/en/players/9af1f9ff/Jordan-Beyer
Philip Billing	/en/players/d328a254/Philip-Billing
Yves Bissouma	/en/players/6c203af0/Yves-Bissouma
Benicio Boaitey	/en/players/4c5835e6/Benicio-Boaitey
Oscar Bobb	/en/players/eed2427e/Oscar-Bobb
Jayden Bogle	/en/players/ae5019e6/Jayden-Bogle
Willy Boly	/en/players/a4ac4b8f/Willy-Boly
Sven Botman	/en/players/ccce7025/Sven-Botman
Jarrod Bowen	/en/players/79c84d1c/Jarrod-Bowen
Jarrad Branthwaite	/en/players/c1949191/Jarrad-Branthwaite
Rhian Brewster	/en/players/30e81a88/Rhian-Brewster
Armando Broja	/en/players/97220da2/Armando-Broja
Andre Brooks	/en/players/5f346071/Andre-Brooks
David Brooks	/en/players/dc4cae05/David-Brooks
Jacob Brown	/en/players/ca18c8f1/Jacob-Brown
Josh Brownhill	/en/players/47369df8/Josh-Brownhill
Jacob Bruun Larsen	/en/players/4e204552/Jacob-Bruun-Larsen
Hugo Bueno	/en/players/bfc3b3a0/Hugo-Bueno
Santiago Bueno	/en/players/edc98fac/Santiago-Bueno
Facundo Buonanotte	/en/players/468a7a91/Facundo-Buonanotte
Reece Burke	/en/players/a681b7b7/Reece-Burke
Dan Burn	/en/players/b2d31e83/Dan-Burn
Mason Burstow	/en/players/dab84ad2/Mason-Burstow
Mois\xc3\xa9s Caicedo	/en/players/16264a81/Moises-Caicedo
Tom Cairney	/en/players/a8748947/Tom-Cairney
Dominic Calvert-Lewin	/en/players/59e6e5bf/Dominic-Calvert-Lewin
Thomas Cannon	/en/players/4506aec5/Thomas-Cannon
Diego Carlos	/en/players/b4a014b1/Diego-Carlos
Casemiro	/en/players/4d224fe8/Casemiro
Matty Cash	/en/players/2389cdc2/Matty-Cash
Timothy Castagne	/en/players/197640fd/Timothy-Castagne
Jonny Castro	/en/players/e28868f3/Jonny-Castro
Julio C\xc3\xa9sar Enciso	/en/players/9cfbad36/Julio-Cesar-Enciso
Youssef Chermiti	/en/players/890f108d/Youssef-Chermiti
Ben Chilwell	/en/players/d2424d1b/Ben-Chilwell
Tahith Chong	/en/players/2696b6a9/Tahith-Chong
Ryan Christie	/en/players/26ce2263/Ryan-Christie
Carney Chukwuemeka	/en/players/b2f9c73e/Carney-Chukwuemeka
Jordan Clark	/en/players/7c5fa6cf/Jordan-Clark
Nathaniel Clyne	/en/players/0442183b/Nathaniel-Clyne
S\xc3\xa9amus Coleman	/en/players/0420d84f/Seamus-Coleman
Nathan Collins	/en/players/a8c19eb8/Nathan-Collins
Levi Colwill	/en/players/700783e7/Levi-Colwill
Lewis Cook	/en/players/2afc7272/Lewis-Cook
Jack Cork	/en/players/74e12f1e/Jack-Cork
Maxwel Cornet	/en/players/beb391dd/Maxwel-Cornet
Vladim\xc3\xadr Coufal	/en/players/fdf3cb77/Vladimir-Coufal
Philippe Coutinho	/en/players/0ef89a37/Philippe-Coutinho
Aaron Cresswell	/en/players/4f974391/Aaron-Cresswell
Marc Cucurella	/en/players/1daec722/Marc-Cucurella
Josh Cullen	/en/players/f6d7d690/Josh-Cullen
Matheus Cunha	/en/players/dc62b55d/Matheus-Cunha
Mahmoud Dahoud	/en/players/db4ed67b/Mahmoud-Dahoud
Ameen Al-Dakhil	/en/players/93e08bce/Ameen-Al-Dakhil
Diogo Dalot	/en/players/d9565625/Diogo-Dalot
Mikkel Damsgaard	/en/players/215f3907/Mikkel-Damsgaard
Danilo	/en/players/a816dbfb/Danilo
Arnaut Danjuma	/en/players/f08490a6/Arnaut-Danjuma
Josh Dasilva	/en/players/60344e4f/Josh-Dasilva
Ben Davies	/en/players/44781702/Ben-Davies
Tom Davies	/en/players/9228b07c/Tom-Davies
Craig Dawson	/en/players/3e9e06cb/Craig-Dawson
Kevin De Bruyne	/en/players/e46012d4/Kevin-De-Bruyne
Hannes Delcroix	/en/players/b737f944/Hannes-Delcroix
Leander Dendoncker	/en/players/5a7301ae/Leander-Dendoncker
Moussa Diaby	/en/players/aeed5c06/Moussa-Diaby
Amadou Diallo	/en/players/e31708b2/Amadou-Diallo
R\xc3\xbaben Dias	/en/players/31c69ef1/Ruben-Dias
Luis D\xc3\xadaz	/en/players/4a1a9578/Luis-Diaz
Eric Dier	/en/players/ac861941/Eric-Dier
Lucas Digne	/en/players/1b84dbe1/Lucas-Digne
Issa Diop	/en/players/a712ca2b/Issa-Diop
Axel Disasi	/en/players/ad82197c/Axel-Disasi
Ben Doak	/en/players/733f1a7d/Ben-Doak
Lewis Dobbin	/en/players/e814e1cf/Lewis-Dobbin
Matt Doherty	/en/players/d557d734/Matt-Doherty
Jeremy Doku	/en/players/fffea3e5/Jeremy-Doku
